feature,importance
selected_feature_13,0.0478709358881996
selected_feature_43,0.036757260234203205
selected_feature_31,0.03604354347423963
selected_feature_12,0.032502815829103165
selected_feature_62,0.0324575340041228
selected_feature_52,0.029807774986858066
selected_feature_79,0.02874234849075283
selected_feature_16,0.02655307029070829
selected_feature_65,0.02553595575236453
selected_feature_41,0.022760560068509066
selected_feature_51,0.02051465836837221
selected_feature_81,0.01946661419592787
selected_feature_72,0.018885881976179165
selected_feature_40,0.01827254544067462
selected_feature_42,0.017999409402457815
selected_feature_56,0.017751975654837052
selected_feature_0,0.017563872891157063
selected_feature_33,0.017485439980357374
selected_feature_3,0.01724532815531268
selected_feature_55,0.017036101060239117
selected_feature_44,0.01468603417645669
selected_feature_14,0.013632668299196835
selected_feature_1,0.013603373949876504
selected_feature_6,0.013454345122454307
selected_feature_28,0.013034356239059576
selected_feature_50,0.01259832664916938
selected_feature_10,0.012588280155912707
selected_feature_63,0.012394265076810936
selected_feature_29,0.012034958808109494
selected_feature_53,0.011857916940907523
selected_feature_19,0.011659106166744433
selected_feature_23,0.01157609286360472
selected_feature_35,0.011574952962001003
selected_feature_47,0.011548099559833349
selected_feature_5,0.010737964663812365
selected_feature_17,0.010642544153245012
selected_feature_27,0.010575131801856987
selected_feature_75,0.010234403381196829
selected_feature_11,0.009811531258968035
selected_feature_4,0.008899688135502595
selected_feature_2,0.008752019087372397
selected_feature_45,0.008611556356595839
selected_feature_74,0.008422284967444443
selected_feature_21,0.008417985662832826
selected_feature_64,0.008395427975220514
selected_feature_36,0.008293442926650072
selected_feature_38,0.008064685565630244
selected_feature_22,0.00804688115643147
selected_feature_9,0.007963609142389097
selected_feature_82,0.007616859550827101
selected_feature_73,0.0075653907802157375
selected_feature_37,0.007532022869752627
selected_feature_24,0.007514825257509759
selected_feature_61,0.007284546176869599
selected_feature_67,0.007030340638412789
selected_feature_59,0.0070038016235307535
selected_feature_57,0.006962312062504066
selected_feature_68,0.006930715226246718
selected_feature_8,0.006875022061700179
selected_feature_15,0.006374541814632459
selected_feature_77,0.00635887795161813
selected_feature_66,0.006352893167688667
selected_feature_70,0.006201159832497641
selected_feature_32,0.006197170166288125
selected_feature_25,0.006117246549298117
selected_feature_39,0.005742313272229821
selected_feature_76,0.005708084858737841
selected_feature_26,0.005378375180338967
selected_feature_18,0.0051485349153801005
selected_feature_80,0.005100892015868073
selected_feature_7,0.005066633164927391
selected_feature_54,0.004982506243904178
selected_feature_60,0.0046897563130113736
selected_feature_34,0.00444490952466104
selected_feature_78,0.004158303025394666
selected_feature_71,0.0038950616450794495
selected_feature_30,0.0038368084982695646
selected_feature_58,0.0037746292778672898
selected_feature_20,0.0034137890663079873
selected_feature_49,0.003233915382202293
selected_feature_46,0.0030614526850785127
selected_feature_69,0.0027693829980399163
selected_feature_48,0.0023113668532467307
