,cv,std,mean,stability_score
428,-0.9333125019662661,0.7090058498538795,-0.7596660800751879,14.995314406519647
427,-0.9323339151994122,0.7079642359668812,-0.7593462218045112,14.778452203153234
422,-0.8976526176747125,0.72323307133517,-0.8056937139097745,9.77064559229987
417,-0.871564174584354,0.6678095709177619,-0.7662196203007519,7.785989592575003
192,-0.8250618940865684,1.0501833693565021,-1.2728540451127819,5.71630746073615
369,-0.8230784318053049,0.11960349210274179,-0.14531238759398496,5.652222112905648
73,-0.819552266966366,0.10588634141481836,-0.1292002300314104,5.541770922739206
419,-0.8018104007156514,0.7332248050548568,-0.9144615789473685,5.045673454161788
420,-0.7967593574482662,0.7032311686953553,-0.8826142575187971,4.9202757255869995
392,-0.7566421903440002,0.024629981238756014,-0.03255168896616541,4.10917570886078
421,-0.7505989862193496,0.707758491572582,-0.9429249233834587,4.009606796865332
418,-0.7401435989159861,0.7622567843547097,-1.0298768853383458,3.8482792643491246
515,-0.7243453696849663,0.12877086857389355,-0.1777755114661654,3.627727924820793
357,-0.6585402794248747,0.13859002838243245,-0.2104503440601504,2.928603111124458
394,-0.6419373447045993,0.02088744576938052,-0.032538137781954884,2.792807306796635
429,-0.6091906650349509,0.736468119498229,-1.2089287669172932,2.558792512183549
233,-0.6066673769583837,2.6244900552331156,-4.326077443609022,2.5423774724482886
389,-0.5661335652275148,0.04141900428810998,-0.07316118815789474,2.3048567942905955
72,-0.5496568765471478,0.10482214373929265,-0.19070468907396876,2.2205290764358545
368,-0.5314044256081413,0.11065232500667034,-0.2082262015037594,2.1340363730446996
430,-0.4995619800817667,0.6459820949407135,-1.2930969943609023,1.998249453875208
193,-0.48106403851418644,1.0251189277634767,-2.1309406766917296,1.9270200452803607
431,-0.4680954704657512,0.21825002343430475,-0.46625109022556394,1.8800366315278971
387,-0.44621705516741966,0.058702929317690035,-0.13155689285714287,1.8057616424108545
514,-0.44270905616012846,0.11136285518428796,-0.2515486268796992,1.7943948507574057
61,-0.4410906722511585,0.16172159213348386,-0.36664024498209985,1.7891989815732197
398,-0.38725670354291514,0.01401735322593199,-0.036196541203007505,1.6320047983911932
71,-0.36981542661408123,0.09130186472698737,-0.24688495437553745,1.586836685999944
391,-0.36925609671913323,0.03451844236511903,-0.0934810357142857,1.5854295139412635
395,-0.358487060421422,0.028334526153434566,-0.07903918796992482,1.558815011053275
396,-0.3574399287168776,0.01855922912104686,-0.05192265225563909,1.5562747277513043
393,-0.34845986805348533,0.03150379293089121,-0.09040866917293233,1.5348248725868059
160,-0.33914870152301957,0.3360432163127926,-0.990843293233083,1.5131997202769107
367,-0.33658540193255454,0.09061696568250643,-0.26922428947368426,1.5073530231517995
400,-0.3266643290625381,0.013579815016067738,-0.04157115977443609,1.4851433588951775
443,-0.31503966508065945,0.07425731548846833,-0.23570782894736847,1.4599385526721893
399,-0.26292180558516076,0.013732252205183742,-0.05222941541353383,1.3567081587509076
70,-0.25698318594436836,0.08068807370241292,-0.3139819183340666,1.3458645633356114
397,-0.24755065737499468,0.014863013128195499,-0.06004028947368421,1.328993120668278
402,-0.241467070166889,0.009780205194706279,-0.04050326691729323,1.3183343275815536
506,-0.23608600988260364,0.21655004788456153,-0.9172506578947368,1.30904789405195
442,-0.22989579975780658,0.06674103234229035,-0.2903099248120301,1.2985255757409266
507,-0.2214285762613364,0.17290629552992345,-0.7808671240601504,1.2844036776973482
358,-0.2210547687716634,0.24261716560600163,-1.0975432330827068,1.2837873061024805
366,-0.21511941342542568,0.07262120848916222,-0.3375855639097744,1.2740791619834344
405,-0.2125746957422245,0.008404401919197068,-0.03953622932330826,1.2699617279160171
513,-0.2104727211403738,0.07167427363828065,-0.34053949248120297,1.2665806828668105
359,-0.20852445933508598,0.19227806001253162,-0.9220887593984962,1.263462922884396
404,-0.2012382104913912,0.007649755096891233,-0.03801343233082707,1.2519377029980254
401,-0.20058763247878125,0.010461504318006073,-0.05215428383458647,1.250918850681225
194,-0.19932549738420965,0.5698118892935172,-2.85870045112782,1.2489469774958695
63,-0.1981114400243042,0.18407123115490148,-0.9291297419892548,1.2470560747621948
508,-0.19712627077353206,0.15073884651401612,-0.7646816729323308,1.2455258698817486
62,-0.19676353926764573,0.22847313050189497,-1.1611558287285968,1.2449634060289614
432,-0.19381751400789257,0.25660810769317627,-1.3239675939849624,1.2404139476800666
433,-0.19097300429379246,0.2060163247624177,-1.0787719736842105,1.2360526970142576
162,-0.1885947008664123,0.1926714092965093,-1.0216162406015037,1.2324297130765502
161,-0.18341318908420678,0.29817675215934325,-1.6257105263157896,1.2246095413646356
360,-0.18293168956391664,0.16116671783919337,-0.8810213157894736,1.2238878772158999
166,-0.18003525695353026,0.1486547867908783,-0.8256981954887218,1.2195646318701867
403,-0.17926826534064996,0.008396645526134054,-0.046838437969924804,1.218424922261665
172,-0.1774017117817616,0.09567050230017624,-0.5392873684210525,1.2156602005166053
64,-0.17055182978825234,0.15127581790494013,-0.8869785688770139,1.205620840353066
163,-0.17038692652204748,0.2339955305213632,-1.3733185714285714,1.2053811975355468
171,-0.16965272290747074,0.11239884497025446,-0.662523082706767,1.2043153841625298
509,-0.16874408341026256,0.11403197673010823,-0.6757687406015037,1.2029989562089884
174,-0.16836084393607023,0.08616296584570787,-0.5117755639097744,1.2024445851406351
178,-0.16636719775923822,0.06768112812805745,-0.4068177443609023,1.1995689196874832
167,-0.1646108409118,0.12644243859229623,-0.7681294736842105,1.1970468961932272
170,-0.16428814269038908,0.09901141143029747,-0.6026692481203008,1.1965846735970438
434,-0.16352462568475926,0.16437379492659285,-1.0051929135338344,1.1954924564499279
176,-0.16221439898855944,0.07057841170164318,-0.43509338345864657,1.1936228061125917
175,-0.15770832523894318,0.07840995874189446,-0.4971833834586467,1.1872371886896331
168,-0.15566831223004224,0.10236969425112327,-0.6576142105263159,1.1843686722704818
441,-0.15479109429263105,0.0531331633146543,-0.34325723684210524,1.1831394501967343
180,-0.15372718529252435,0.057982796631764366,-0.37717984962406015,1.1816520424866324
361,-0.15239258635153363,0.11833468232528237,-0.7765120676691729,1.1797914740924345
183,-0.14931928973820205,0.0502193329730945,-0.3363218045112782,1.175529182614531
181,-0.14691163034643792,0.05657232191227828,-0.38507721804511275,1.1722115030194333
182,-0.1465836490179595,0.05170717278587233,-0.3527485714285714,1.1717610036991712
177,-0.14363643895968858,0.06472963162039663,-0.4506490977443609,1.1677283405020162
221,-0.14102410915008154,0.07597150076626656,-0.5387128571428571,1.1641770283104738
173,-0.13752308436151645,0.0812034210642491,-0.5904712030075188,1.1594513219634517
69,-0.13726594277239143,0.054246669252438304,-0.39519394364549576,1.1591057425198847
169,-0.1367149503014878,0.09400323647726484,-0.6875856390977443,1.1583659422217878
164,-0.13584005369228636,0.14475220299536326,-1.0656076691729324,1.15719318428572
65,-0.13565262155218696,0.10438010790931777,-0.7694662050387405,1.1569422490709587
510,-0.13504300357334256,0.08059706853008575,-0.5968252067669174,1.1561268411391978
435,-0.12685973178666735,0.11157551868779848,-0.8795187969924811,1.1452913539839993
179,-0.12498711682071206,0.05161578867053575,-0.4129688721804511,1.1428403160952116
165,-0.12471300580790758,0.12577919886147015,-1.0085491729323308,1.1424824162079779
211,-0.12192682170200493,0.2480589269868026,-2.0344902255639097,1.138857244151724
220,-0.11977646943423194,0.07346903116654407,-0.6133845112781955,1.136075059658136
152,-0.11490791063123301,4.6535042780350535,-40.49768421052631,1.1298259379012001
362,-0.11102104155749652,0.0755038368695441,-0.6800858270676692,1.1248860172708768
440,-0.10895866477854077,0.044033637236948704,-0.40413157894736845,1.1222823908067747
365,-0.10502832608265825,0.0438036861988636,-0.41706545112781956,1.1173537991687974
210,-0.10428766883846281,0.29428992157772577,-2.8219052631578947,1.1164298683967264
219,-0.10426575192889517,0.0686666490266724,-0.6585733834586466,1.1164025514860278
217,-0.10317657962914625,0.08064958705573592,-0.7816656390977444,1.1150467051657513
66,-0.10084728562680788,0.06729052064579032,-0.6672516788880505,1.112158128441073
512,-0.09424841575294592,0.039802161838179376,-0.4223112030075188,1.1040554798822617
216,-0.0939975221188919,0.07997876700749469,-0.8508603759398496,1.1037497406615557
215,-0.08834707508482241,0.08561106580900384,-0.969031127819549,1.0969086728845219
218,-0.08573664929212325,0.05976610283776473,-0.6970893233082707,1.0937767539579715
455,-0.08226452617105477,0.7899994659052022,-9.603160714285714,1.0896386034069636
436,-0.0813218476691007,0.06179142917203043,-0.7598379887218044,1.088520498133942
212,-0.07450213153339136,0.1250137924800672,-1.6779894736842105,1.0804995171483525
451,-0.07262247101590588,0.022183672251899194,-0.30546567669172936,1.0783095004420271
377,-0.0725213613179175,0.028222756492718593,-0.38916473684210523,1.078191947817761
511,-0.06959059868058189,0.03605233970128112,-0.5180633646616541,1.0747956744438472
7,-0.06728827775224194,0.02295199312891056,-0.3410994291371328,1.0721426311551898
68,-0.06714505429566237,0.031835454642154835,-0.4741295539351651,1.0719780225262843
307,-0.06500641988519777,0.7050119749926084,-10.845266917293234,1.0695260601438739
303,-0.060418391619782776,0.020629550912512413,-0.3414448872180451,1.0643035060296044
439,-0.059204371450818215,0.028216630939520582,-0.4765970864661654,1.062930108999463
363,-0.05844679402953062,0.03450966783746781,-0.5904458646616542,1.0620748712435095
11,-0.05804663297776907,0.6086709776552554,-10.485896363504263,1.0616236801204608
214,-0.05127238384016747,0.05602753121002986,-1.0927428571428572,1.05404331334604
67,-0.049015566584939156,0.028182258113370738,-0.5749654666244377,1.051541923151066
213,-0.04748422039975172,0.06384174887419641,-1.3444834586466166,1.0498513740314936
